,0,1,2,3,4,5,6,7,8,9,10,,
117,117,2,1:51:40,Scanlan,Initiative,19,19,,,,,,
118,118,2,1:51:40,Tiberius,Initiative,13,10,,,,,,
119,119,2,1:51:40,Vax'ildan,Initiative,15,10,,,,,,
120,120,2,1:51:40,Vex'ahlia,Initiative,24,19,,,,,,
121,121,2,1:52:54,Vex'ahlia,Charisma Save,13,8,,,,,,
122,122,2,1:55:09,Scanlan,Healing,9,,,,,"Healing Word, Percy heals 5 points",,
123,123,2,1:55:57,Percy,Attack,30,19,,,,Disregarded due to disadvantage,,
124,124,2,1:55:57,Percy,Attack,25,19,,,,Pepperbox Ice Shot,,
125,125,2,1:56:28,Percy,Damage,14,,,14,,,,
126,126,2,1:56:48,Percy,Attack,Unknown,Unknown,,,,Pepperbox Misfire,,
127,127,2,1:59:30,Keyleth,Charisma Save,16,16,,,,,,
128,128,2,1:59:45,Keyleth,Attack,14,9,,,,Claw Attack,,
129,129,2,1:59:55,Keyleth,Attack,19,14,,,,Claw Attack,,
130,130,2,2:00:09,Keyleth,Attack,18,13,,,,Claw Attack,,
131,131,2,2:00:20,Keyleth,Damage,20,,,25,,,,
132,132,2,2:03:14,Vax'ildan,Attack,20,9,,,,Dagger with Sneak Attack,,
133,133,2,2:03:14,Vax'ildan,Attack,18,8,,,,Flame-Tongue Dagger,,
134,134,2,2:03:19,Vax'ildan,Damage,36,,,36,,,,
135,135,2,2:04:00,Vax'ildan,Damage,3,,,3,,,,
136,136,2,2:05:38,Grog,Charisma Save,11,10,,,,,,
137,137,2,2:05:44,Grog,Charisma Save,5,4,,,,Disregarded due to advantage,,
138,138,2,2:06:22,Grog,Attack,Nat1,1,,,,Great Axe,,
139,139,2,2:07:34,Tiberius,Arcana,17,11,,,,,,
140,140,2,2:09:20,Vex'ahlia,Attack,23,12,,,,Disregarded due to disadvantage,,
141,141,2,2:09:20,Vex'ahlia,Attack,23,12,,,,Arrow through Blood-Seeking Bow and HM,,
142,142,2,2:09:40,Vex'ahlia,Attack,Unknown,Unknown,,,,Arrow,,
143,143,2,2:09:40,Vex'ahlia,Attack,26,15,,,,,,
144,144,2,2:10:10,Vex'ahlia,Damage,29,,,29,,,,
145,145,2,2:11:50,Scanlan,Attack,19,10,,,,Roll for Polymorph,,
146,146,2,2:13:30,Percy,Attack,14,3,,,,Pepperbox Fire Shot,,
147,147,2,2:13:30,Percy,Attack,Unknown,Unknown,,,,Disregarded due to disadvantage,,
148,148,2,2:13:50,Percy,Inspiration,3,,,,,,,
149,149,2,2:14:00,Percy,Damage,17,,,17,,,,
150,150,2,2:16:12,Keyleth,Attack,Nat20,20,,,,Grapple – no crit effect,,
151,151,2,2:17:01,Keyleth,Athletics,20,14,,,,,,
152,152,2,2:19:25,Vax'ildan,Dexterity,21,12,,,,,,
153,153,2,2:20:22,Vax'ildan,Acrobatics,29,16,,,,,,
154,154,2,2:20:39,Vax'ildan,Attack,15,4,,,,Dagger,,
155,155,2,2:21:20,Grog,Attack,26,18,,,,Great Axe,,
156,156,2,2:21:20,Grog,Attack,26,18,,,,Great Axe,,
157,157,2,2:21:20,Grog,Attack,25,17,,,,Great Axe,,
158,158,2,2:22:05,Grog,Damage,8,,,8,,,,
159,159,2,2:22:05,Grog,Damage,16,,,6,,,,
160,160,2,2:22:05,Grog,Damage,10,,,10,1,,,
161,161,2,2:23:49,Tiberius,Attack,10,1,,,,Firebolt,,
162,162,2,2:23:49,Tiberius,Attack,11,2,,,,Disregarded due to disadvantage,,
163,163,2,2:24:33,Vex'ahlia,Attack,20,9,,,,Disregarded due to disadvantage,,
164,164,2,2:24:33,Vex'ahlia,Attack,20,9,,,,Arrow,,
165,165,2,2:24:38,Vex'ahlia,Attack,19,8,,,,Arrow,,
166,166,2,2:24:38,Vex'ahlia,Attack,Unknown,Unknown,,,,Disregarded due to disadvantage,"[8,20]",Manual Update
167,167,2,2:25:03,Vex'ahlia,Damage,24,,,24,,,,
168,168,2,2:26:05,Scanlan,Damage,28,,,14,,Lightning Bolt,,
169,169,2,2:27:05,Percy,Attack,24,13,,,,Pepperbox,,
170,170,2,2:27:05,Percy,Attack,Unknown,Unknown,,,,Disregarded due to disadvantage,,
171,171,2,2:27:15,Percy,Damage,6,,,6,,,,
172,172,2,2:27:22,Percy,Attack,Unknown,19,,11,,Pepperbox,,
173,173,2,2:27:22,Percy,Attack,Nat20,20,Y,,,Disregarded due to disadvantage,,
174,174,2,2:29:15,Keyleth,Damage,11,,,6,,Call Lightning,,
175,175,2,2:31:02,Vax'ildan,Attack,Unknown,Unknown,,,,Dagger,,
176,176,2,2:31:04,Vax'ildan,Attack,27,17,,,,Flame-Tongue Dagger with Sneak Attack,,
177,177,2,2:31:30,Vax'ildan,Damage,24,,,24,1,HDYWTDT,,
178,178,2,2:33:18,Keyleth,Healing,20,,,,,Healing Scanlan,,
179,179,2,2:35:35,Vax'ildan,Stealth,29,16,,,,,,
180,180,2,2:39:08,Vex'ahlia,Stealth,Nat20,20,,,,Disregarded due to disadvantage,,
181,181,2,2:39:08,Vex'ahlia,Stealth,22,13,,,,,,
182,182,2,2:41:12,Scanlan,Healing,Unknown,,,,,"Potion on self, rolls not announced",,
183,183,2,2:44:37,Grog,Intelligence Save,6,8,,,,Grog unconscious due to failing INT save,,
184,184,2,2:46:25,Tiberius,Damage,29,,,15 (29/2) Ice,1,Glacial Blast,,
185,185,2,2:47:52,Vex'ahlia,Attack,27,16,,,,Arrow,,
186,186,2,2:48:13,Vex'ahlia,Damage,11,,,11,,,,
187,187,2,2:48:18,Vex'ahlia,Attack,23,12,,,,Arrow,,
188,188,2,2:48:25,Vex'ahlia,Damage,24,,,24,1,,,
189,189,2,2:51:52,Percy,Attack,Unknown,19,Y,,,"Pepperbox with Sharp Shooter, 
Assumed Nat19 due to “I crit” not “TWENTY”",,
190,190,2,2:52:14,Percy,Damage,Unknown,,,25,?,"Incapacitated (non-lethal damage done over max HP) – 
unknown due to crit-inclusive value announced by Taliesin)",,
191,191,2,2:53:18,Keyleth,Damage,22,,,22,,Call Lightning,,
192,192,2,2:54:36,Vax'ildan,Constitution,14,14,,,,,,
193,193,2,2:54:36,Vax'ildan,Constitution,Unknown,Unknown,,,,Disregarded due to advantage,,
194,194,2,2:54:52,Vax'ildan,Inspiration,1,,,,,,,
195,195,2,2:56:23,Tiberius,Attack,14,5,,,,Firebolt,,
196,196,2,2:56:48,Vex'ahlia,Attack,23,12,,,,Arrow,,
197,197,2,2:56:54,Vex'ahlia,Damage,8,,,,1,,,
198,198,2,2:57:21,Vex'ahlia,Intimidation,8,5,,,,,,
199,199,3,0:05:54,Percy,Medicine,19,16,,,,,,
200,200,3,0:11:33,Percy,Intimidation,21,19,,,,,,
201,201,3,0:12:32,Percy,History,14,7,,,,,,
202,202,3,0:14:49,Vex'ahlia,Intimidation,14,11,,,,"Disregarded due to advantage 
(given due to Vax assist)",,
203,203,3,0:14:59,Vax'ildan,Assist,19,19,,,,,,
204,204,3,0:15:04,Vex'ahlia,Intimidation,14,11,,,,With advantage,,
205,205,3,0:15:21,Scanlan,Insight,Unknown,Unknown,,,,,,
206,206,3,0:15:33,Vex'ahlia,Insight,24,18,,,,,,
207,207,3,0:18:59,Scanlan,Arcana,Unknown,Unknown,,,,,,
208,208,3,0:19:02,Tiberius,Arcana,24,18,,,,,,
209,209,3,0:21:36,Keyleth,Religion,8,6,,,,,,
210,210,3,0:23:30,Vax'ildan,Religion,10,8,,,,,,
211,211,3,0:23:30,Vex'ahlia,Religion,Unknown,Unknown,,,,,,
212,212,3,0:24:16,Tiberius,Religion,20,18,,,,,,
213,213,3,0:30:14,Keyleth,Wisdom,Nat2,2,,,,Disregarded due to advantage,,
214,214,3,0:30:26,Keyleth,Wisdom,29,17,,,,With advantage,,
215,215,3,0:30:33,Keyleth,Inspiration,6,,,,,,,
216,216,3,0:36:25,Vex'ahlia,Survival,19,13,,,,,,
217,217,3,0:38:39,Vax'ildan,Stealth,Nat20,20,,,,,,
218,218,3,0:39:45,Vex'ahlia,Stealth,16,7,,,,,,
219,219,3,0:50:25,Tiberius,Arcana,20,14,,,,,,
220,220,3,0:53:00,Grog,Stealth,6,4,,,,,,
221,221,3,0:53:00,Keyleth,Stealth,15,13,,,,,,
222,222,3,0:53:00,Percy,Stealth,12,7,,,,,,
223,223,3,0:53:00,Scanlan,Stealth,20,18,,,,,,
224,224,3,0:53:00,Tiberius,Stealth,11,8,,,,,,
225,225,3,0:53:00,Vax'ildan,Stealth,30,17,,,,,,
226,226,3,0:53:00,Vex'ahlia,Stealth,Nat20,20,,,,,,
227,227,3,0:55:48,Keyleth,Perception,Unknown,Unknown,,,,,,
228,228,3,0:57:51,Vax'ildan,Stealth,29,16,,,,,,
229,229,3,0:57:51,Vex'ahlia,Stealth,17,8,,,,,,
230,230,3,0:57:51,Scanlan,Stealth,13,11,,,,,,
231,231,3,1:04:43,Scanlan,Stealth,18,16,,,,,,
232,232,3,1:04:43,Scanlan,Stealth,Unknown,Unknown,,,,Disregarded due to advantage,,
233,233,3,1:07:00,Scanlan,Stealth,19,17,,,,With advantage,,
234,234,3,1:07:00,Scanlan,Stealth,Unknown,Unknown,,,,Disregarded due to advantage,,
235,235,3,1:14:20,Scanlan,Stealth,21,19,,,,With advantage,,
236,236,3,1:14:20,Scanlan,Stealth,Unknown,Unknown,,,,Disregarded due to advantage,,
237,237,3,1:14:35,Scanlan,Survival,17,17,,,,,,
238,238,3,1:28:30,Tiberius,Intelligence,14,12,,,,,,
239,239,3,1:30:07,Percy,Intelligence,Unknown,Unknown,,,,,,
240,240,3,1:30:30,Keyleth,Intelligence,17,15,,,,,,
241,241,3,1:53:15,Percy,Attack,Unknown,Unknown,,,,"Bad News, Misfire",,
242,242,3,1:53:25,Vex'ahlia,Attack,Unknown,Unknown,,,,Arrow,,
243,243,3,1:54:14,Vax'ildan,Dexterity,Nat1,1,,,,Disregarded due to advantage,,
244,244,3,1:54:14,Vax'ildan,Dexterity,28,19,,,,With advantage,,
245,245,3,1:54:55,Vax'ildan,Wisdom Save,7,5,,,,,,
246,246,3,1:56:26,Tiberius,Athletics,21,20,,,,Unannounced nat20 or bad math/mod,,
247,247,3,1:58:05,Percy,Attack,23,11,,,,Bad News,,
248,248,3,1:58:27,Percy,Damage,20,,,20 to Duergar,,,,
249,249,3,1:59:58,Percy,Attack,15,3,,,,Bad News,,
250,250,3,2:00:43,Vex'ahlia,Perception,Nat20,20,,,,,,
251,251,3,2:14:27,Keyleth,Stealth,Nat16,16,,,,,,
252,252,3,2:14:27,Keyleth,Stealth,Nat13,13,,,,Disregarded due to advantage,,
253,253,3,2:14:27,Vex'ahlia,Stealth,15,6,,,,With advantage,,
254,254,3,2:15:30,Vex'ahlia,Survival,16,10,,,,,,
255,255,3,2:20:09,Keyleth,Persuasion,9,9,,,,With disadvantage,,
256,256,3,2:20:09,Keyleth,Persuasion,Unknown,Unknown,,,,Disregarded due to disadvantage,,
257,257,3,2:22:06,Vex'ahlia,Persuasion,19,12,,,,,,
258,258,3,2:22:10,Grog,Insight,16,16,,,,,,
259,259,3,2:29:23,Keyleth,Insight,18,8,,,,,,
260,260,3,2:29:23,Percy,Insight,Nat1,1,,,,,,
261,261,3,2:29:23,Scanlan,Insight,13,13,,,,,,
262,262,3,2:29:23,Tiberius,Insight,14,17,,,,,,
263,263,3,2:29:23,Vax'ildan,Insight,4,2,,,,,,
264,264,3,2:29:23,Vex'ahlia,Insight,24,17,,,,,,
265,265,3,2:30:56,Scanlan,Persuasion,17,8,,,,,,
266,266,3,2:31:44,Scanlan,Performance,18,5,,,,,,
267,267,4,0:19:14,Scanlan,Stealth,9,7,,,,,,
268,268,4,0:19:14,Vax'ildan,Stealth,29,16,,,,,,
269,269,4,0:20:35,Vax'ildan,Perception,11,1,,,,,,
270,270,4,0:20:35,Scanlan,Perception,Unknown,Unknown,,,,Bad,,
271,271,4,0:20:35,Scanlan,Perception,Unknown,Unknown,,,,Bad,,
272,272,4,0:22:59,Pike,Religion,Nat20,20,,,,,,
273,273,4,0:39:32,Scanlan,Insight,13,13,,,,,,
274,274,4,0:39:55,Pike,Insight,Nat20,20,,,,,,
275,275,4,0:58:24,Percy,Persuasion,16,10,,,,,,
276,276,4,1:07:38,Percy,Tinkering,17,8,,,,Trapping Arrow,,
277,277,4,1:10:35,Grog,Stealth,Nat1,1,,,,,,
278,278,4,1:10:35,Keyleth,Stealth,19,17,,,,,,
279,279,4,1:10:35,Percy,Stealth,18,13,,,,,,
280,280,4,1:10:35,Pike,Stealth,Nat1,1,,,,,,
281,281,4,1:10:35,Scanlan,Stealth,14,12,,,,,,
282,282,4,1:10:35,Tiberius,Stealth,16,13,,,,,,
283,283,4,1:10:35,Vax'ildan,Stealth,20,7,,,,,,
284,284,4,1:13:00,Vax'ildan,Investigation,12,9,,,,,,
285,285,4,1:25:10,Grog,Stealth,27,15,,,,,,
286,286,4,1:25:10,Keyleth,Stealth,18,6,,,,With disadvantage and Pass Without a Trace,,
287,287,4,1:25:10,Keyleth,Stealth,Unknown,Unknown,,,,Disregarded due to disadvantage,,
288,288,4,1:25:10,Percy,Stealth,22,7,,,,With Pass Without a Trace,,
289,289,4,1:25:10,Pike,Stealth,23,13,,,,With Pass Without a Trace,,
290,290,4,1:25:10,Scanlan,Stealth,15,3,,,,With Pass Without a Trace,,
291,291,4,1:25:10,Tiberius,Stealth,18,5,,,,With Pass Without a Trace,,
292,292,4,1:25:10,Vax'ildan,Stealth,28,5,,,,With Pass Without a Trace,,
293,293,4,1:30:35,Grog,Stealth,23,11,,,,With Pass Without a Trace,,
294,294,4,1:30:35,Keyleth,Stealth,Nat1,1,,,,With Pass Without a Trace,,
295,295,4,1:30:35,Percy,Stealth,29,14,,,,With Pass Without a Trace,,
296,296,4,1:30:35,Pike,Stealth,21,11,,,,With Pass Without a Trace,,
297,297,4,1:30:35,Scanlan,Stealth,30,18,,,,With Pass Without a Trace,,
298,298,4,1:30:35,Tiberius,Stealth,20,7,,,,With Pass Without a Trace,,
299,299,4,1:30:35,Vax'ildan,Stealth,28,5,,,,With Pass Without a Trace,,
300,300,4,1:34:00,Vax'ildan,Acrobatics,18,5,,,,,,
301,301,4,1:36:40,Scanlan,Stealth,Unknown,Unknown,,,,Disregarded due to disadvantage,,
302,302,4,1:36:40,Scanlan,Stealth,13,11,,,,With advantage,,
303,303,4,1:36:40,Vax'ildan,Stealth,28,15,,,,,,
304,304,4,1:40:05,Vax'ildan,Dexterity,Unknown,Unknown,,,,Disregarded due to advantage,,
305,305,4,1:40:05,Vax'ildan,Dexterity,17,12,,,,With advantage,,
306,306,4,1:41:00,Vax'ildan,Attack,Unknown,Unknown,,,,Disregarded due to advantage,,
307,307,4,1:41:00,Vax'ildan,Attack,26,15,Y,,,Dagger with advantage,,
308,308,4,1:42:00,Vax'ildan,Damage,Unknown,,,52 to Duergar Guard,,,,
309,309,4,1:43:20,Vax'ildan,Perception,28,18,,,,,,
310,310,4,1:43:20,Scanlan,Perception,9,9,,,,,,
311,311,4,1:44:24,Scanlan,Stealth,Unknown,Unknown,,,,,,
312,312,4,1:44:24,Scanlan,Stealth,19,17,,,,,,
313,313,4,1:44:24,Vax'ildan,Stealth,Unknown,Unknown,,,,,,
314,314,4,1:44:24,Vax'ildan,Stealth,29,16,,,,,,
315,315,4,1:45:08,Scanlan,Attack,19,17,,,,Added dex mod because not proficient in goblin shit buckets,,
316,316,4,1:46:22,Vax'ildan,Attack,29,19,Y,,,Poison Dagger with advantage,,
317,317,4,1:46:35,Vax'ildan,Damage,Unknown,,,62 to Illithid,,Only total damage w/ crit incl given,,
318,318,4,1:48:12,Grog,Initiative,18,16,,,,,,
319,319,4,1:48:12,Keyleth,Initiative,9,7,,,,,,
320,320,4,1:48:12,Percy,Initiative,19,12,,,,,,
321,321,4,1:48:12,Pike,Initiative,9,9,,,,,,
322,322,4,1:48:12,Scanlan,Initiative,14,14,,,,,,
323,323,4,1:48:12,Tiberius,Initiative,16,13,,,,,,
324,324,4,1:48:12,Vax'ildan,Initiative,Nat20,20,,,,,,
325,325,4,1:48:12,Vex'ahlia,Initiative,21,16,,,,,,
326,326,4,1:50:12,Vax'ildan,Attack,28,18,,,,Flame-Tongue Dagger,,
327,327,4,1:50:25,Vax'ildan,Damage,9,,,9 to Illithid,,,,
328,328,4,1:50:48,Vax'ildan,Attack,24,14,,,,Dagger,,
329,329,4,1:50:58,Vax'ildan,Damage,8,,,8 to Illithid,1,,,
330,330,4,1:54:13,Grog,Strength,15,11,,,,With advantage,,
331,331,4,1:54:13,Grog,Strength,Unknown,Unknown,,,,Disregarded due to advantage,,
332,332,4,1:54:37,Grog,Damage,9,,,9 to Roof,,,,
333,333,4,1:55:15,Grog,Acrobatics,21,19,,,,,,
334,334,4,1:56:21,Pike,Acrobatics,6,6,,8 Fall to Pike,,With disadvantage,,
335,335,4,1:56:21,Pike,Acrobatics,Unknown,Unknown,,,,Disregarded due to disadvantage,,
336,336,4,1:55:58,Vex'ahlia,Acrobatics,12,3,,8 Fall to Vex'ahlia,,,,
337,337,4,1:55:58,Percy,Acrobatics,20,15,,,,,,
338,338,4,1:57:05,Percy,Attack,Nat20,20,Y,,,Pepperbox,,
339,339,4,1:57:37,Percy,Damage,Unknown,,,19 to General,,only total damage w/ crit incl given,,
340,340,4,1:58:18,Vex'ahlia,Attack,15,4,,,,Lightning Arrow,,
341,341,4,1:59:08,Vex'ahlia,Attack,25,14,,,,Arrow,,
342,342,4,1:59:21,Vex'ahlia,Damage,10,,,10 to General,,,,
343,343,4,2:05:18,Tiberius,Damage,27,,,81 (27 to Soldiers 1-3),3,Grand Columns,,
344,344,4,2:06:33,Tiberius,Damage,29,,,14 to General,,Blight,,
345,345,4,2:08:28,Scanlan,Intimidation,11,2,,,,,,
346,346,4,2:11:00,Grog,Stealth,14,12,,,,,,
347,347,4,2:11:00,Keyleth,Stealth,Nat1,1,,,,,,
348,348,4,2:11:00,Percy,Stealth,23,18,,,,,,
349,349,4,2:11:00,Pike,Stealth,17,17,,,,,,
350,350,4,2:11:00,Scanlan,Stealth,Nat20,20,,,,,,
351,351,4,2:11:00,Tiberius,Stealth,5,2,,,,,,
352,352,4,2:11:00,Vax'ildan,Stealth,18,5,,,,,,
353,353,4,2:11:00,Vex'ahlia,Stealth,19,10,,,,,,
354,354,4,2:11:58,Percy,Acrobatics,18,13,,,,,,
355,355,4,2:14:32,Pike,Attack,25,17,,,,Guiding Bolt,,
