,Index of Roll in AllRollsWildemount.csv,Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage Dealt,# Kills,Notes
31,160,C2E002,03:42:00,Jester,Stealth,9,6,,,,
32,161,C2E002,03:44:04,Jester,Persuasion,5,2,,,,
33,163,C2E002,03:44:04,Jester,Perception,17,14,,,,
34,166,C2E002,03:58:25,Jester,Stealth,Nat20,20,,,,
35,168,C2E002,04:03:12,Jester,Insight,7,4,,,,
36,171,C2E003,00:09:41,Jester,Initiative,Nat1,1,,,,
37,201,C2E003,00:36:07,Jester,Medicine,9,4,,,,
38,208,C2E003,00:59:32,Jester,Survival,11,8,,,,
39,217,C2E003,01:11:11,Jester,Animal Handling,Unknown,Unknown,,,,Disregarded due to advantage
40,218,C2E003,01:11:11,Jester,Animal Handling,13,10,,,,With advantage
41,223,C2E003,01:12:35,Jester,Stealth,18,15,,,,
42,228,C2E003,01:31:26,Jester,Religion,14,13,,,,
43,235,C2E003,02:00:57,Jester,Stealth,21,18,,,,
44,240,C2E003,02:30:24,Jester,Deception,14,11,,,,
45,246,C2E003,02:36:35,Jester,Stealth,17,14,,,,
46,257,C2E003,02:45:00,Jester,Initiative,16,13,,,,
47,269,C2E003,02:49:44,Jester,Wisdom Save,9,4,,,,"Against Toya's singing, Jester has disadvantage on attack rolls for the next round"
48,285,C2E003,03:04:04,Jester,Wisdom Save,21,16,,,,Against Toya's singing
49,289,C2E003,03:05:03,Jester,Spell Attack,7,2,,,,Guiding Bolt
50,301,C2E003,03:17:06,Jester,Constitution Save,7,5,,6 Poison to Jester,,Against Imp Sting
51,308,C2E003,03:24:07,Jester,Healing,9,,,,,"Cure Wounds (1st), Jester heals 9 points"
52,316,C2E003,03:32:32,Jester,Damage,6,,,6 to Imp 1,1.0,Word of Radiance
53,328,C2E003,03:39:54,Jester,Healing,5,,,,,"Cure Wounds (1st), Fjord heals 5 points, is conscious"
54,331,C2E003,03:42:27,Jester,Investigation,14,13,,,,
55,337,C2E004,00:38:56,Jester,Strength,8,5,,,,
56,339,C2E004,00:43:04,Jester,Stealth,7,4,,,,
57,341,C2E004,00:44:44,Jester,Deception,Unknown,Unknown,,,,Disregarded due to disadvantage
58,342,C2E004,00:44:44,Jester,Deception,8,5,,,,With disadvantage
59,343,C2E004,00:45:35,Jester,Sleight of Hand,Nat20,20,,,,
60,371,C2E004,02:35:42,Jester,Medicine,20,15,,,,
61,373,C2E004,02:38:41,Jester,Insight,15,12,,,,
62,376,C2E004,02:39:50,Jester,Dexterity,15,12,,,,
63,383,C2E004,03:01:15,Jester,Sleight of Hand,23,18,,,,
64,397,C2E005,00:19:18,Jester,Perception,5,2,,,,
65,405,C2E005,00:38:38,Jester,Perception,Nat1,1,,,,
66,426,C2E005,01:12:07,Jester,Constitution Save,9,7,,,,Jester has one level of exhaustion
67,429,C2E005,01:23:57,Jester,Stealth,Unknown,Unknown,,,,Disregarded due to disadvantage
68,430,C2E005,01:23:57,Jester,Stealth,6,3,,,,With disadvantage
69,438,C2E005,01:30:15,Jester,Spell Attack,17,12,,,,Spiritual Weapon
70,439,C2E005,01:30:15,Jester,Damage,10,,,10 Radiant to Witherling 1,1.0,
71,443,C2E005,01:33:29,Jester,Initiative,Unknown,Unknown,,,,Disregarded due to disadvantage
72,444,C2E005,01:33:29,Jester,Initiative,7,4,,,,With disadvantage
73,453,C2E005,01:50:12,Jester,Spell Attack,15,10,,,,Spiritual Weapon
74,454,C2E005,01:51:30,Jester,Damage,4,,,4 Radiant to Pack Lord,,
75,474,C2E005,02:18:05,Jester,Damage,9,,,9 Cold to Witherling 4,,Hellish Rebuke
76,475,C2E005,02:19:16,Jester,Spell Attack,24,19,,,,Guiding Bolt
77,476,C2E005,02:19:28,Jester,Damage,9,,,9 Radiant to Pack Lord,,
78,477,C2E005,02:19:54,Jester,Spell Attack,Unknown,Unknown,,,,Disregarded due to advantage
79,478,C2E005,02:19:54,Jester,Spell Attack,20,15,,,,Spiritual Weapon with advantage
80,479,C2E005,02:20:02,Jester,Damage,9,,,9 Force to Pack Lord,,
81,493,C2E005,02:36:39,Jester,Spell Attack,8,3,,,,Spiritual Weapon
82,494,C2E005,03:36:55,Jester,Healing,Unknown,Unknown,,,,"Cure Wounds (1st), Jester heals unknown amount"
83,510,C2E005,02:49:24,Jester,Spell Attack,Unknown,Unknown,,,,Disregarded due to advantage
84,511,C2E005,02:49:24,Jester,Spell Attack,Nat20,20,Y,,,Inflict Wounds (1st)
85,512,C2E005,02:49:33,Jester,Damage,13,,,26 (13x2) Necrotic to Gnoll 6,1.0,
86,514,C2E005,02:54:49,Jester,Healing,6,,,,,"Cure Wounds (1st); Molly heals 6 points, is conscious"
87,515,C2E005,02:54:56,Jester,Healing,16,,,,,"Cure Wounds (2nd); Nott heals 16 points, is conscious"
88,517,C2E006,00:21:04,Jester,Sleight of Hand,19,14,,,,
89,522,C2E006,00:54:50,Jester,Intelligence,18,17,,,,
90,530,C2E006,01:26:33,Jester,Perception,19,16,,,,
91,533,C2E006,01:32:49,Jester,Survival,Unknown,Unknown,,,,Disregarded due to advantage
92,534,C2E006,01:32:49,Jester,Survival,13,10,,,,With advantage
93,541,C2E006,01:34:27,Jester,Stealth,10,7,,,,
94,546,C2E006,01:40:36,Jester,Damage,4,,,4 to Hyena 2,1.0,Sacred Flame
95,566,C2E006,02:00:04,Jester,Spell Attack,21,16,,,,Guiding Bolt (1st)
96,567,C2E006,02:00:13,Jester,Damage,10,,,10 to Gnoll 1,,
97,575,C2E006,02:07:38,Jester,Investigation,Unknown,Unknown,,,,Disregarded due to advantage
98,576,C2E006,02:07:38,Jester,Investigation,11,10,,,,With advantage
99,588,C2E006,02:35:57,Jester,Perception,11,8,,,,
100,590,C2E006,02:36:13,Jester,Stealth,15,12,,,,
101,595,C2E006,02:40:53,Jester,Healing,9,,,,,"Cure Wounds (1st), Nott heals 9 points"
102,598,C2E006,02:55:17,Jester,Spell Attack,24,19,,,,Spiritual Weapon (2nd)
103,599,C2E006,02:55:25,Jester,Damage,9,,,9 Force to Gnoll 1,,
104,614,C2E006,03:04:26,Jester,Initiative,13,10,,,,
105,619,C2E006,03:09:53,Jester,Spell Attack,21,16,,,,Spiritual Weapon
106,620,C2E006,03:09:58,Jester,Damage,9,,,9 Force to Gnoll 4,,
107,621,C2E006,03:10:39,Jester,Damage,2,,,2 Necrotic to Gnoll 5,,Toll the Dead
108,635,C2E006,03:24:03,Jester,Spell Attack,13,8,,,,Spiritual Weapon
109,636,C2E006,03:24:33,Jester,Damage,7,,,7 Necrotic to Gnoll 4,0.5,Toll the Dead (Beau whacks it to split the kill)
110,654,C2E006,03:34:31,Jester,Spell Attack,Unknown,Unknown,,,,Disregarded due to advantage
111,655,C2E006,03:34:31,Jester,Spell Attack,13,8,,,,Spiritual Weapon
112,664,C2E006,03:43:52,Jester,Healing,Unknown,Unknown,,,,"Cure Wounds, Fjord heals unknown points"
113,669,C2E007,00:18:41,Jester,Initiative,16,13,,,,
114,708,C2E007,01:11:53,Jester,Stealth,13,5,,,,
115,720,C2E007,01:27:07,Jester,Perception,13,,,,,
116,722,C2E007,01:27:48,Jester,Stealth,13,11,,,,
117,730,C2E007,01:39:35,Jester,Initiative,13,10,,,,
118,749,C2E007,01:59:52,Jester,Damage,9,6,,6 Necrotic to Gnoll 1,,Toll the Dead
119,766,C2E007,02:17:16,Jester,Attack,16,11,,,,Sickle
120,768,C2E007,02:17:24,Jester,Damage,4,,,4 to Pack Lord,0.5,HDYWTDT
121,777,C2E007,02:39:15,Jester,Investigation,Nat1,1,,,,Disregarded due to advantage
122,778,C2E007,02:39:15,Jester,Investigation,3,2,,,,With advantage
123,789,C2E007,03:01:02,Jester,Stealth,13,10,,,,
124,799,C2E007,03:09:00,Jester,Initiative,18,15,,,,
125,807,C2E007,03:12:37,Jester,Attack,Nat1,1,,,,Sickle
126,810,C2E007,03:16:18,Jester,Damage,13,,,13 Cold to Manticore,,Hellish Rebuke 
127,811,C2E007,03:18:24,Jester,Attack,8,3,,,,Kick AoO
128,818,C2E007,03:26:41,Jester,Damage,6,,,6 Radiant to Priest,,Sacred Flame
129,824,C2E007,03:41:20,Jester,Healing,8,,,,,"Regular Healing Potion (given by Fjord), Jester heals 8 points, is conscious"
130,825,C2E007,03:42:34,Jester,Healing,8,,,,,"Cure Wounds (1st), Nott heals 8 points, is conscious"
131,841,C2E008,00:24:17,Jester,Sleight of Hand,Nat20,20,,,,
132,843,C2E008,00:27:48,Jester,Charisma Save,12,9,,,,
133,849,C2E008,00:56:43,Jester,Nature,20,19,,,,
134,857,C2E008,01:52:03,Jester,Perception,17,14,,,,
135,865,C2E008,01:58:27,Jester,Perception,5,2,,,,
136,872,C2E008,02:09:06,Jester,Spell Attack,15,10,,,,Spiritual Weapon
137,883,C2E008,02:14:02,Jester,Healing,11,,,,,"Cure Wounds (1st), Caleb heals 11 points, is conscious"
138,884,C2E008,02:14:47,Jester,Intimidation,5,4,,,,
139,887,C2E008,02:24:21,Jester,Healing,4,,,,,"Cure Wounds (1st), Caleb heals 4 points"
140,890,C2E008,02:30:39,Jester,Perception,6,3,,,,
141,896,C2E008,02:49:23,Jester,Insight,Nat20,20,,,,
142,906,C2E008,03:25:44,Jester,Persuasion,10,7,,,,
143,909,C2E009,00:23:31,Jester,Deception,17,14,,,,
144,911,C2E009,00:25:59,Jester,Perception,22,19,,,,
145,912,C2E009,00:27:01,Jester,Other,Unknown,Unknown,,,,Crick-Queen's Call
146,913,C2E009,00:27:01,Jester,Other,Unknown,Unknown,,,,Crick-Queen's Call
147,914,C2E009,00:27:01,Jester,Other,Unknown,Unknown,,,,Crick-Queen's Call
148,915,C2E009,00:27:19,Jester,Sleight of Hand,19,14,,,,
149,917,C2E009,00:27:28,Jester,Other,Unknown,Unknown,,,,Crick-Queen's Call
150,918,C2E009,00:28:52,Jester,Other,Unknown,Unknown,,,,Crick-Queen's Call
151,920,C2E009,00:30:18,Jester,Sleight of Hand,16,11,,,,
152,925,C2E009,01:13:33,Jester,Perception,4,3,,,,
153,932,C2E009,01:57:14,Jester,Perception,12,9,,,,
154,933,C2E009,02:18:38,Jester,Sleight of Hand,12,7,,,,
155,936,C2E009,03:03:52,Jester,Persuasion,22,19,,,,
156,951,C2E010,00:57:41,Jester,Initiative,8,5,,,,
157,967,C2E010,01:09:17,Jester,Attack,21,16,,,,Handaxe
158,968,C2E010,01:09:35,Jester,Damage,7,,,7 to Rat 6,1.0,
159,970,C2E010,01:10:03,Jester,Constitution Save,5,3,,,,
160,979,C2E010,01:26:29,Jester,Healing,8,,,,,Yasha heals 8 points
161,986,C2E010,01:22:12,Jester,Stealth,8,5,,,,
162,990,C2E010,01:23:27,Jester,Perception,15,12,,,,
163,998,C2E010,01:40:30,Jester,Attack,Unknown,Unknown,,,,Handaxe
164,999,C2E010,01:40:38,Jester,Damage,7,,,7 to Web,,
165,1004,C2E010,02:09:22,Jester,Initiative,22,19,,,,
166,1019,C2E010,02:25:20,Jester,Damage,2,,,2 Radiant to Spider,,
167,1030,C2E010,02:35:26,Jester,Healing,6,,,,,"Cure Wounds, Fjord heals 6 points"
168,1031,C2E010,02:37:50,Jester,Attack,17,12,,,,Handaxe AoO
169,1032,C2E010,02:38:00,Jester,Damage,7,,,7 to Spider,,
170,1037,C2E010,02:44:18,Jester,Healing,11,,,,,"Cure Wounds, Thed heals 11 points"
171,1040,C2E010,02:48:38,Jester,Investigation,11,10,,,,
172,1052,C2E011,00:56:27,Jester,Persuasion,17,14,,,,
173,1055,C2E011,01:14:46,Jester,Perception,18,15,,,,
174,1057,C2E011,01:23:32,Jester,Sleight of Hand,23,18,,,,
175,1061,C2E011,01:37:09,Jester,Investigation,6,5,,,,
176,1074,C2E011,02:18:02,Jester,Insight,20,17,,,,
177,1091,C2E011,03:20:45,Jester,Strength,17,14,,,,
178,1098,C2E011,03:22:14,Jester,Stealth,17,14,,,,
179,1102,C2E011,03:34:32,Jester,Deception,6,3,,,,
180,1122,C2E012,01:20:57,Jester,Healing,Unknown,Unknown,,,,Molly heals unknown points
181,1125,C2E012,01:59:00,Jester,Perception,Unknown,Unknown,,,,
182,1126,C2E012,02:03:59,Jester,Persuasion,19,16,,,,
183,1132,C2E012,02:05:08,Jester,Deception,7,4,,,,
184,1133,C2E012,02:08:00,Jester,Deception,11,8,,,,
185,1134,C2E012,02:09:27,Jester,Deception,7,4,,,,
186,1142,C2E012,02:15:41,Jester,Stealth,20,17,,,,
187,1147,C2E012,02:21:45,Jester,Athletics,11,8,,,,
188,1149,C2E012,02:23:38,Jester,Strength,12,9,,,,
189,1151,C2E012,02:25:06,Jester,Unknown,19,19,,,,
190,1167,C2E012,02:51:11,Jester,Initiative,17,14,,,,
191,1173,C2E012,02:53:35,Jester,Spell Attack,24,19,,,,Guiding Bolt
192,1174,C2E012,02:53:46,Jester,Damage,15,,,15 (8 Radiant to Rug + 7 Radiant to Nott),,
193,1181,C2E012,02:59:43,Jester,Athletics,12,9,,,,
194,1198,C2E012,03:11:08,Jester,Forgery Kit,9,6,,,,"Prof+INT, Disregarded due to advantage"
195,1199,C2E012,03:11:08,Jester,Forgery Kit,22,19,,,,With advantage
196,1203,C2E012,03:15:35,Jester,Athletics,5,2,,,,
197,1207,C2E012,03:20:42,Jester,Deception,18,15,,,,
198,1208,C2E012,03:21:16,Jester,Healing,8,,,,,"Cure Wounds, Jester heals 8 points"
199,1213,C2E012,03:27:23,Jester,Deception,Unknown,Unknown,,,,Disregarded due to advantage
200,1214,C2E012,03:27:23,Jester,Deception,18,15,,,,With advantage
201,1224,C2E012,03:37:11,Jester,Investigation,15,14,,,,
202,1226,C2E012,03:39:56,Jester,Investigation,12,11,,,,
203,1230,C2E012,03:41:29,Jester,Investigation,Nat20,20,,,,
204,1232,C2E012,03:46:02,Jester,Perception,21,18,,,,
205,1246,C2E012,03:56:34,Jester,Stealth,5,2,,,,
206,1253,C2E013,00:10:44,Jester,Initiative,4,1,,,,
207,1261,C2E013,00:27:26,Jester,Healing,6,,,,,"Healing Word, Beau heals 6 points"
208,1270,C2E013,00:33:34,Jester,Damage,8,,,4 (8/2) Cold to Assassin,,Hellish Rebuke
209,1275,C2E013,00:36:42,Jester,Healing,7,,,,,"Cure Wounds, Beau heals 7 points, is conscious"
210,1277,C2E013,00:47:03,Jester,Persuasion,9,6,,,,
211,1280,C2E013,00:56:35,Jester,Insight,14,11,,,,
212,1284,C2E013,01:14:52,Jester,Deception,12,9,,,,
213,1286,C2E013,01:17:32,Jester,Perception,14,11,,,,
214,1289,C2E013,01:20:50,Jester,Deception,5,2,,,,
215,1290,C2E013,01:21:33,Jester,Dexterity,21,18,,,,
216,1306,C2E013,02:01:36,Jester,Perception,Unknown,Unknown,,,,Disregarded due to disadvantage
217,1307,C2E013,02:01:36,Jester,Perception,9,6,,,,With disadvantage
218,1308,C2E013,02:02:27,Jester,Persuasion,15,12,,,,
219,1309,C2E013,02:03:32,Jester,Deception,21,18,,,,
220,1310,C2E013,02:04:34,Jester,Charisma,10,9,,,,
221,1317,C2E013,02:51:02,Jester,Perception,10,7,,,,
222,1323,C2E013,03:09:16,Jester,Hit Points,5,3,,,,
223,1337,C2E014,00:39:08,Jester,Insight,22,18,,,,
224,1367,C2E015,00:18:21,Jester,Perception,21,17,,,,
225,1375,C2E015,00:25:29,Jester,Initiative,Nat1,1,,,,
226,1387,C2E015,00:33:34,Jester,Strength,6,3,,,,
227,1404,C2E015,00:43:42,Jester,Strength,22,19,,,,
228,1410,C2E015,00:52:52,Jester,Athletics,13,10,,,,
229,1424,C2E015,01:20:19,Jester,Perception,20,16,,,,
230,1426,C2E015,01:22:08,Jester,Healing,Unknown,Unknown,,,,"Cure Wounds (1st), Yasha heals unknown points"
231,1432,C2E015,01:30:05,Jester,Healing,7,,,,,"Cure Wounds (1st), Nott heals 7 points"
232,1434,C2E015,01:31:15,Jester,Perception,7,3,,,,
233,1444,C2E015,01:43:04,Jester,Initiative,12,8,,,,
234,1465,C2E015,02:18:17,Jester,Healing,7,,,,,"Cure Wounds (2nd), Nott heals 7 points"
235,1478,C2E015,02:39:26,Jester,Initiative,20,16,,,,
236,1486,C2E015,02:43:46,Jester,Damage,6,,,6 Radiant to Gelatinous Cube,,Sacred Flame
237,1532,C2E016,00:16:02,Jester,Wisdom Save,15,9,,,,Against Whispers of Madness
238,1535,C2E016,00:17:18,Jester,Initiative,Nat1,1,,,,
239,1551,C2E016,00:25:53,Jester,Wisdom Save,12,6,,,,Against Howling Babble
240,1585,C2E016,00:48:50,Jester,Wisdom Save,10,4,,14 Psychic to Jester,,Against Howling Babble
241,1594,C2E016,00:53:54,Jester,Investigation,3,2,,,,
242,1606,C2E016,01:01:25,Jester,Healing,10,,,,,"Healing Word (2nd), Yasha heals 10 points, is conscious"
243,1607,C2E016,01:01:53,Jester,Athletics,16,13,,,,
244,1616,C2E016,01:04:55,Jester,Hit Dice,Unknown,Unknown,,,,
245,1629,C2E016,01:18:29,Jester,Medicine,21,15,,,,
246,1636,C2E016,01:46:03,Jester,Constitution,16,14,,,,
247,1637,C2E016,01:47:24,Jester,Perception,10,6,,,,
248,1640,C2E016,01:49:22,Jester,Strength,Unknown,Unknown,,,,Disregarded due to advantage
249,1641,C2E016,01:49:22,Jester,Strength,21,18,,,,With advantage
250,1647,C2E016,01:57:33,Jester,Constitution,17,15,,,,
251,1651,C2E016,02:30:26,Jester,Strength,5,2,,,,
252,1655,C2E016,02:31:57,Jester,Stealth,12,8,,,,
253,1657,C2E016,02:32:37,Jester,Constitution,13,11,,,,
254,1662,C2E016,02:43:05,Jester,Deception,16,13,,,,
255,1665,C2E016,02:49:17,Jester,Insight,21,17,,,,
256,1670,C2E016,03:09:43,Jester,Sleight of Hand,9,4,,,,
257,1678,C2E017,00:18:13,Jester,Attack,5,2,,4 to Beau,,Unarmed Strike
258,1679,C2E017,00:19:11,Jester,Attack,9,6,,,,Unarmed Strike
259,1686,C2E017,00:37:26,Jester,Dexterity,6,2,,,,Disregarded due to disadvantage
260,1687,C2E017,00:37:26,Jester,Dexterity,6,2,,,,With disadvantage
261,1700,C2E017,00:53:05,Jester,Strength,Nat20,20,,,,
262,1722,C2E017,01:19:25,Jester,Performance,18,17,,,,
263,1723,C2E017,01:20:31,Jester,Sleight of Hand,11,6,,,,
264,1747,C2E017,01:45:38,Jester,Charisma,Nat1,1,,,,
265,1757,C2E017,02:40:47,Jester,Perception,9,5,,,,
266,1764,C2E017,02:42:08,Jester,Perception,16,12,,,,
267,1773,C2E017,02:50:39,Jester,Initiative,6,2,,,,
268,1785,C2E017,02:59:44,Jester,Damage,7,,,7 Necrotic to Otyugh,,Toll the Dead
269,1797,C2E017,03:07:06,Jester,Damage,12,,,12 Cold to Otyugh,,Hellish Rebuke (2nd)
270,1807,C2E017,03:11:39,Jester,Damage,2,,,2 Necrotic to Otyugh,,Toll the Dead
271,1811,C2E017,03:16:32,Jester,Medicine,23,17,,,,
272,1814,C2E017,03:25:58,Jester,Healing,10,,,,,"Cure Wounds (1st), Beau heals 10 points"
273,1816,C2E017,03:25:40,Jester,Athletics,22,19,,,,
274,1819,C2E017,03:27:11,Jester,Initiative,22,18,,,,
275,1825,C2E017,03:29:11,Jester,Damage,5,,,5 to Wolf 1,,Sacred Flame
276,1827,C2E017,03:31:08,Jester,Dexterity Save,20,16,,4 (16/2/2) Cold to Jester,,Against Cold Breath
277,1846,C2E017,03:39:17,Jester,Attack,17,12,,,,Handaxe
278,1847,C2E017,03:39:23,Jester,Damage,9,,,9 to Wolf 1,,
279,1873,C2E017,03:53:11,Jester,Healing,14,,,,,"Prayer of Healing; Fjord, Beau, Caleb, Jester, Molly, and Yasha heal 14 points"
280,1876,C2E018,00:13:09,Jester,Initiative,19,15,,,,
281,1884,C2E018,00:17:20,Jester,Spell Attack,16,10,,,,Spiritual Weapon
282,1885,C2E018,00:18:27,Jester,Damage,10,,,10 Force to Giant,,
283,1886,C2E018,00:18:38,Jester,Damage,8,,,8 Radiant to Giant,,Sacred Flame
284,1905,C2E018,00:33:18,Jester,Spell Attack,Unknown,Unknown,,,,Spiritual Weapon
285,1906,C2E018,00:33:28,Jester,Damage,12,,,12 Force to Giant,,
286,1913,C2E018,00:45:07,Jester,Healing,10,,,,,"Cure Wounds (1st), Yasha heals 10 points, is conscious"
287,1915,C2E018,00:46:53,Jester,Healing,9,,,,,"Potion of Regular Healing, Molly heals 9 points, is conscious"
288,1927,C2E018,01:09:06,Jester,History,19,15,,,,
289,1929,C2E018,01:34:15,Jester,Perception,20,16,,,,
290,1932,C2E018,02:33:35,Jester,Perception,7,3,,,,
291,1937,C2E018,03:06:28,Jester,Deception,Unknown,Unknown,,,,
292,1940,C2E018,04:01:05,Jester,Investigation,Unknown,Unknown,,,,Disregarded due to advantage
293,1941,C2E018,04:01:05,Jester,Investigation,5,4,,,,With advantage
294,1946,C2E018,04:10:06,Jester,Hit Points,7,5,,,,
295,1949,C2E019,00:20:56,Jester,Initiative,22,18,,,,
296,1951,C2E019,00:22:03,Jester,Spell Attack,18,11,,,,Inflict Wounds
297,1952,C2E019,00:22:29,Jester,Damage,17,,,17 Necrotic to Beau,,
298,1956,C2E019,00:24:44,Jester,Constitution Save,6,4,,,,"Against Stunning Strike, Jester is stunned"
299,1974,C2E019,00:42:11,Jester,Persuasion,Nat20,20,,,,
300,1975,C2E019,00:47:30,Jester,Perception,8,4,,,,
301,1980,C2E019,01:21:40,Jester,Perception,Unknown,Unknown,,,,Disregarded due to advantage
302,1981,C2E019,01:21:40,Jester,Perception,13,9,,,,With advantage
303,2005,C2E019,02:21:55,Jester,Initiative,6,2,,,,
304,2009,C2E019,02:26:55,Jester,Constitution Save,Nat20,20,,,,
305,2022,C2E019,02:39:55,Jester,Healing,20,,,,,"Cure Wounds (2nd), Caleb heals 20 points"
306,2026,C2E019,02:47:38,Jester,Strength Save,12,9,,,,Against wolf bite
307,2027,C2E019,02:47:39,Jester,Strength Save,13,10,,,,Against wolf bite
308,2028,C2E019,02:48:05,Jester,Damage,15,,,15 Cold to Wolf 1,1.0,Hellish Rebuke
309,2052,C2E019,03:02:12,Jester,Damage,5,,,5 Radiant to Wolf 3,,
310,2053,C2E019,03:02:40,Jester,Spell Attack,16,9,,,,Spiritual Weapon
311,2054,C2E019,03:02:46,Jester,Damage,9,,,9 Force to Wolf 3,,
312,2088,2018-02-20 00:00:00,00:19:44,Jester,Perception,Unknown,Unknown,,,,Disregarded due to advantage
313,2089,2018-02-20 00:00:00,00:19:44,Jester,Perception,9,5,,,,
314,2095,2018-02-20 00:00:00,00:39:04,Jester,Wisdom,20,16,,,,
315,2098,2018-02-20 00:00:00,00:47:44,Jester,Perception,19,15,,,,
316,2104,2018-02-20 00:00:00,01:18:03,Jester,Perception,Nat1,1,,,,
317,2108,2018-02-20 00:00:00,01:24:41,Jester,Athletics,21,18,,,,
318,2109,2018-02-20 00:00:00,01:25:00,Jester,Perception,10,6,,,,
319,2110,2018-02-20 00:00:00,01:27:06,Jester,Damage,13,,,13 Radiant to Gator 1,,
320,2111,2018-02-20 00:00:00,01:28:22,Jester,Spell Attack,23,16,,,,"Guiding Bolt, rolled after damage"
321,2115,2018-02-20 00:00:00,01:30:55,Jester,Initiative,14,10,,,,
322,2121,2018-02-20 00:00:00,01:36:51,Jester,Damage,3,,,3 Radiant to Gator 1,,Sacred Flame against Gator
323,2129,2018-02-20 00:00:00,01:45:35,Jester,Athletics,16,13,,,,
324,2130,2018-02-20 00:00:00,01:47:02,Jester,Spell Attack,23,16,,,,Spiritual Weapon against Gator 1
325,2131,2018-02-20 00:00:00,01:47:09,Jester,Damage,8,,,8 force to Gator 1,,
326,2159,2018-02-20 00:00:00,01:58:53,Jester,Healing,6,,,,,"Healing word to Kiri, Kiri is conscious"
327,2176,2018-02-20 00:00:00,02:13:39,Jester,Healing,9,,,,,"Cure Wounds to Nott, Nott is conscious"
328,2177,2018-02-20 00:00:00,02:17:14,Jester,Strength,20,17,,,,
329,2183,2018-02-20 00:00:00,02:28:08,Jester,Healing,8,,,,,Cure wounds to Kiri
330,2184,2018-02-20 00:00:00,02:29:16,Jester,Medicine,10,3,,,,
331,2187,2018-02-20 00:00:00,02:46:50,Jester,Perception,22,18,,,,
332,2188,2018-02-20 00:00:00,02:55:45,Jester,Perception,8,4,,,,
333,2190,2018-02-20 00:00:00,03:10:22,Jester,Persuasion,9,5,,,,
334,2191,2018-02-20 00:00:00,03:11:35,Jester,Persuasion,Unknown,Unknown,,,,
335,2192,2018-02-20 00:00:00,03:11:35,Jester,Persuasion,12,8,,,,
336,2193,2018-02-20 00:00:00,03:17:25,Jester,Insight,Nat1,1,,,,
337,2208,2018-02-21 00:00:00,00:55:34,Jester,Perception,13,9,,,,
338,2223,2018-02-21 00:00:00,01:34:22,Jester,Perception,12,8,,,,
339,2224,2018-02-21 00:00:00,01:35:26,Jester,Perception,23,19,,,,
340,2225,2018-02-21 00:00:00,01:35:39,Jester,Perception,Nat1,1,,,,
341,2226,2018-02-21 00:00:00,01:36:05,Jester,Perception,23,19,,,,
342,2235,2018-02-21 00:00:00,01:49:11,Jester,Initiative,23,19,,,,
343,2242,2018-02-21 00:00:00,01:50:24,Jester,Damage,6,,,6 Necrotic to Troll,,Toll the Dead
