,Episode,Time,Character,Type of Roll,Total Value,Natural Value,Crit?,Damage Dealt,# Kills,Notes
84,C2E002,00:16:59,Beau,Stealth,17,11,,,,
85,C2E002,00:18:05,Beau,Perception,21,18,,,,
86,C2E002,00:20:05,Beau,Animal Handling,11,8,,,,
87,C2E002,00:20:45,Beau,Stealth,19,13,,,,
88,C2E002,00:21:36,Beau,Stealth,10,4,,,,
89,C2E002,00:25:10,Beau,Athletics,10,8,,,,
90,C2E002,00:31:12,Molly,Persuasion,Nat20,20,,,,
91,C2E002,00:40:49,Fjord,Persuasion,16,12,,,,
92,C2E002,00:42:40,Fjord,Deception,24,18,,,,
93,C2E002,00:54:52,Beau,Insight,Nat20,20,,,,
94,C2E002,01:02:01,Beau,Investigation,16,15,,,,
95,C2E002,01:02:02,Molly,Investigation,16,16,,,,
96,C2E002,01:06:14,Nott,Sleight of Hand,11,3,,,,
97,C2E002,01:10:22,Beau,Perception,21,18,,,,
98,C2E002,01:18:12,Jester,Medicine,17,12,,,,
99,C2E002,01:25:42,Fjord,Insight,15,17,,,,
100,C2E002,01:25:50,Molly,Deception,Unknown,Unknown,,,,
101,C2E002,01:34:01,Jester,Dexterity,Unknown,Unknown,,,,Disregarded due to advantage
102,C2E002,01:34:01,Jester,Dexterity,15,12,,,,With advantage
103,C2E002,01:36:12,Molly,Dexterity,Unknown,Unknown,,,,Disregarded due to advantage
104,C2E002,01:36:12,Molly,Dexterity,Nat20,20,,,,With advantage
105,C2E002,01:40:13,Molly,Perception,14,11,,,,
106,C2E002,01:41:09,Fjord,Performance,20,16,,,,
107,C2E002,01:41:13,Beau,Performance,16,15,,,,
108,C2E002,01:41:47,Molly,Performance,Nat20,20,,,,
109,C2E002,01:45:05,Jester,Investigation,16,15,,,,
110,C2E002,01:50:06,Jester,Deception,17,14,,,,
111,C2E002,01:54:05,Jester,Investigation,12,11,,,,
112,C2E002,02:22:47,Jester,Perception,11,8,,,,
113,C2E002,02:22:50,Fjord,Perception,11,11,,,,
114,C2E002,02:31:47,Molly,Nature,9,9,,,,
115,C2E002,02:38:48,Caleb,Investigation,12,6,,,,With advantage
116,C2E002,02:38:48,Caleb,Investigation,Unknown,Unknown,,,,Disregarded due to advantage
117,C2E002,02:44:55,Caleb,Investigation,21,15,,,,
118,C2E002,02:45:02,Nott,Investigation,21,16,,,,
119,C2E002,02:51:05,Nott,Sleight of Hand,22,14,,,,
120,C2E002,02:51:55,Nott,Sleight of Hand,20,12,,,,
121,C2E002,03:07:31,Nott,Stealth,21,13,,,,
122,C2E002,03:07:31,Fjord,Stealth,15,15,,,,
123,C2E002,03:07:31,Beau,Stealth,19,13,,,,
124,C2E002,03:07:31,Molly,Stealth,17,14,,,,
125,C2E002,03:07:31,Jester,Stealth,21,18,,,,
126,C2E002,03:07:31,Caleb,Stealth,12,11,,,,
127,C2E002,03:09:14,Jester,Perception,Nat1,1,,,,
128,C2E002,03:09:14,Nott,Perception,19,19,,,,
129,C2E002,03:09:14,Molly,Perception,12,9,,,,
130,C2E002,03:09:14,Fjord,Perception,9,9,,,,
131,C2E002,03:09:14,Beau,Perception,18,15,,,,
132,C2E002,03:09:14,Caleb,Perception,10,7,,,,
133,C2E002,03:10:55,Molly,Intelligence,17,17,,,,
134,C2E002,03:12:44,Jester,Performance,4,3,,,,
135,C2E002,03:13:38,Nott,Stealth,13,5,,,,
136,C2E002,03:13:38,Fjord,Stealth,9,9,,,,
137,C2E002,03:13:38,Beau,Stealth,9,3,,,,
138,C2E002,03:13:38,Molly,Stealth,7,4,,,,
139,C2E002,03:13:38,Jester,Stealth,19,16,,,,
140,C2E002,03:13:38,Caleb,Stealth,15,14,,,,
141,C2E002,03:15:48,Nott,Deception,0,3,,,,Disregarded due to advantage
142,C2E002,03:15:48,Nott,Deception,4,7,,,,With advantage
143,C2E002,03:17:42,Caleb,Deception,Nat20,20,,,,
144,C2E002,03:22:18,Fjord,Deception,13,7,,,,
145,C2E002,03:24:44,Caleb,Religion,10,,,,,
146,C2E002,03:25:11,Fjord,Investigation,16,12,,,,
147,C2E002,03:25:11,Caleb,Investigation,10,4,,,,
148,C2E002,03:25:55,Fjord,Religion,10,8,,,,
149,C2E002,03:27:18,Beau,Stealth,21,15,,,,
150,C2E002,03:27:18,Molly,Stealth,17,14,,,,
151,C2E002,03:27:18,Jester,Stealth,18,15,,,,
152,C2E002,03:27:18,Nott,Stealth,25,17,,,,
153,C2E002,03:39:00,Nott,Stealth,21,13,,,,
154,C2E002,03:39:01,Beau,Stealth,13,7,,,,
155,C2E002,03:39:03,Molly,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
156,C2E002,03:39:03,Molly,Stealth,13,10,,,,With advantage
157,C2E002,03:39:06,Jester,Stealth,12,9,,,,
158,C2E002,03:41:37,Beau,Insight,15,10,,,,
159,C2E002,03:42:00,Nott,Stealth,23,15,,,,
160,C2E002,03:42:00,Jester,Stealth,9,6,,,,
161,C2E002,03:44:04,Jester,Persuasion,5,2,,,,
162,C2E002,03:47:01,Nott,Perception,Nat1,1,,,,
163,C2E002,03:44:04,Jester,Perception,17,14,,,,
164,C2E002,03:57:08,Beau,Deception,15,12,,,,
165,C2E002,03:58:25,Nott,Stealth,22,14,,,,
166,C2E002,03:58:25,Jester,Stealth,Nat20,20,,,,
167,C2E002,04:01:50,Beau,Insight,Nat20,20,,,,
168,C2E002,04:03:12,Jester,Insight,7,4,,,,
169,C2E003,00:09:27,Beau,Initiative,Nat20,20,,,,
170,C2E003,00:09:34,Nott,Initiative,Nat1,1,,,,
171,C2E003,00:09:41,Jester,Initiative,Nat1,1,,,,
172,C2E003,00:10:03,Caleb,Initiative,11,10,,,,
173,C2E003,00:10:11,Molly,Initiative,8,5,,,,
174,C2E003,00:10:18,Fjord,Initiative,3,3,,,,
175,C2E003,00:15:10,Beau,Athletics,9,5,,,,
176,C2E003,00:15:25,Beau,Damage,8,,,8 to Zombie 1,,
177,C2E003,00:16:05,Beau,Attack,19,13,,,,Unarmed Strike
178,C2E003,00:16:11,Beau,Attack,Nat1,1,,,,Unarmed Strike
179,C2E003,00:17:22,Caleb,Spell Attack,23,17,,,,Chromatic Orb (Cold)
180,C2E003,00:17:33,Caleb,Damage,9,,,9 Cold to Zombie 1,,
181,C2E003,00:19:00,Molly,Attack,20,15,,,,Scimitar
182,C2E003,00:19:00,Molly,Attack,Nat20,20,Y,,,Scimitar
183,C2E003,00:19:32,Molly,Damage,9,,,9 to Zombie 1,,
184,C2E003,00:19:42,Molly,Damage,13,,,13 to Zombie 1,1.0,
185,C2E003,00:21:09,Molly,Damage,3,,,3 to Molly,,Blood Curse of the Eyeless (amplified)
186,C2E003,00:22:36,Nott,Attack,17,11,,,,Hand Crossbow SA
187,C2E003,00:23:02,Nott,Damage,9,,,9 (7 + 2 Fury of the Small) to Zombie 2,,
188,C2E003,00:23:06,Nott,Damage,2,,,2 to Zombie 2,,Sneak Attack
189,C2E003,00:25:14,Fjord,Spell Attack,14,8,,,,Eldtritch Blast
190,C2E003,00:25:23,Fjord,Damage,9,,,9 to Zombie 2,,
191,C2E003,00:26:26,Beau,Attack,13,7,,,,Staff
192,C2E003,00:26:39,Beau,Damage,11,,,11 to Zombie 2,,
193,C2E003,00:27:17,Beau,Attack,16,10,,,,Unarmed Strike
194,C2E003,00:27:30,Beau,Damage,6,,,6 to Zombie 2,,
195,C2E003,00:28:23,Caleb,Spell Attack,17,11,,,,Fire Bolt
196,C2E003,00:28:31,Caleb,Damage,4,,,4 Fire to Zombie 2,,
197,C2E003,00:29:46,Molly,Attack,8,3,,,,Scimitar
198,C2E003,00:29:50,Molly,Attack,16,11,,,,Scimitar
199,C2E003,00:29:55,Molly,Damage,9,,,9 to Zombie 2,,
200,C2E003,00:32:34,Nott,Attack,Nat20,20,Y,,1.0,Hand Crossbow (HDYWTDT)
201,C2E003,00:36:07,Jester,Medicine,9,4,,,,
202,C2E003,00:36:44,Nott,Perception,Nat20,20,,,,
203,C2E003,00:40:34,Nott,Religion,Nat1,1,,,,
204,C2E003,00:44:41,Fjord,Perception,14,14,,,,
205,C2E003,00:52:50,Beau,Perception,Nat20,20,,,,
206,C2E003,00:55:50,Fjord,Survival,3,5,,,,
207,C2E003,00:57:45,Beau,Survival,8,5,,,,
208,C2E003,00:59:32,Jester,Survival,11,8,,,,
209,C2E003,01:00:18,Fjord,Investigation,14,10,,,,
210,C2E003,01:02:01,Molly,Hit Dice,11,,,,,Molly heals 11 points
211,C2E003,01:03:31,Molly,Survival,Unknown,Unknown,,,,Disregarded due to advantage
212,C2E003,01:03:31,Molly,Survival,18,15,,,,With advantage
213,C2E003,01:06:10,Molly,Religion,Unknown,Unknown,,,,Disregarded due to advantage
214,C2E003,01:06:10,Molly,Religion,15,15,,,,With advantage
215,C2E003,01:10:03,Beau,Animal Handling,6,3,,,,
216,C2E003,01:10:46,Molly,Animal Handling,9,6,,,,
217,C2E003,01:11:11,Jester,Animal Handling,Unknown,Unknown,,,,Disregarded due to advantage
218,C2E003,01:11:11,Jester,Animal Handling,13,10,,,,With advantage
219,C2E003,01:12:00,Molly,Stealth,Nat20,20,,,,
220,C2E003,01:12:29,Fjord,Stealth,18,18,,,,
221,C2E003,01:12:32,Caleb,Stealth,16,15,,,,
222,C2E003,01:12:34,Beau,Stealth,17,11,,,,
223,C2E003,01:12:35,Jester,Stealth,18,15,,,,
224,C2E003,01:18:19,Nott,Intelligence,8,5,,,,
225,C2E003,01:23:37,Nott,Stealth,11,3,,,,With advantage
226,C2E003,01:23:37,Nott,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
227,C2E003,01:31:25,Molly,Religion,9,9,,,,
228,C2E003,01:31:26,Jester,Religion,14,13,,,,
229,C2E003,01:44:18,Frumpkin,Perception,Nat6,6,,,,
230,C2E003,01:45:05,Frumpkin,Perception,Nat5,5,,,,
231,C2E003,01:46:59,Nott,Intelligence,Nat1,1,,,,
232,C2E003,02:00:22,Fjord,Deception,15,9,,,,
233,C2E003,02:00:54,Beau,Stealth,Nat1,1,,,,
234,C2E003,02:00:57,Molly,Stealth,18,15,,,,
235,C2E003,02:00:57,Jester,Stealth,21,18,,,,
236,C2E003,02:12:07,Fjord,Perception,13,13,,,,
237,C2E003,02:12:07,Beau,Perception,Unknown,Unknown,,,,
238,C2E003,02:12:23,Molly,Perception,8,5,,,,
239,C2E003,02:12:24,Caleb,Perception,20,17,,,,
240,C2E003,02:30:24,Jester,Deception,14,11,,,,
241,C2E003,02:32:27,Molly,Survival,8,5,,,,
242,C2E003,02:33:28,Frumpkin,Perception,Unknown,Unknown,,,,Disregarded due to disadvantage
243,C2E003,02:33:28,Frumpkin,Perception,7,4,,,,With disadvantage
244,C2E003,02:34:07,Beau,Perception,8,5,,,,Same natural roll as the Investigation check afterwards
245,C2E003,02:34:22,Beau,Investigation,7,5,,,,
246,C2E003,02:36:35,Jester,Stealth,17,14,,,,
247,C2E003,02:36:36,Molly,Stealth,19,16,,,,
248,C2E003,02:36:37,Fjord,Stealth,16,16,,,,
249,C2E003,02:36:38,Beau,Stealth,17,11,,,,
250,C2E003,02:36:39,Caleb,Stealth,15,14,,,,
251,C2E003,02:36:39,Nott,Stealth,16,8,,,,
252,C2E003,02:39:12,Beau,Perception,Unknown,Unknown,,,,Disregarded due to advantage
253,C2E003,02:39:12,Beau,Perception,20,17,,,,With advantage
254,C2E003,02:41:46,Molly,Perception,6,3,,,,
255,C2E003,02:44:46,Molly,Initiative,18,15,,,,
256,C2E003,02:44:47,Beau,Initiative,16,12,,,,
257,C2E003,02:45:00,Jester,Initiative,16,13,,,,
258,C2E003,02:45:03,Caleb,Initiative,15,14,,,,
259,C2E003,02:45:24,Nott,Initiative,11,7,,,,
260,C2E003,02:45:29,Fjord,Initiative,5,5,,,,
261,C2E003,02:46:26,Molly,Damage,1,,,1 to Molly,,Rite of the Frozen
262,C2E003,02:47:49,Beau,Attack,21,15,,,,Staff
263,C2E003,02:47:57,Beau,Damage,7,,,7 to Kylre,,
264,C2E003,02:49:32,Nott,Wisdom Save,15,15,,,,Against Toya's singing
265,C2E003,02:49:35,Beau,Wisdom Save,15,12,,,,Against Toya's singing
266,C2E003,02:49:36,Molly,Wisdom Save,20,15,,,,Against Toya's singing
267,C2E003,02:49:38,Fjord,Wisdom Save,17,17,,,,Against Toya's singing
268,C2E003,02:49:40,Caleb,Wisdom Save,20,15,,,,Against Toya's singing
269,C2E003,02:49:44,Jester,Wisdom Save,9,4,,,,"Against Toya's singing, Jester has disadvantage on attack rolls for the next round"
270,C2E003,02:51:47,Beau,Acrobatics,15,9,,,,
271,C2E003,02:52:14,Beau,Athletics,18,14,,,,
272,C2E003,02:52:59,Beau,Attack,11,5,,,,Staff to crush Toya's throat
273,C2E003,02:54:55,Nott,Attack,8,2,,,,Shortsword
274,C2E003,02:57:27,Fjord,Spell Attack,25,19,,,,Eldritch Blast
275,C2E003,02:57:42,Fjord,Damage,15,,,15 to Kylre,,
276,C2E003,02:59:34,Molly,Attack,13,8,,,,Scimitar
277,C2E003,02:59:46,Molly,Damage,9,,,9 (8 + 1 Cold) to Imp 3,,
278,C2E003,03:00:33,Molly,Constitution Save,11,9,,4 Poison to Molly,,Against Imp Sting
279,C2E003,03:01:10,Fjord,Damage,4,,,4 to Kylre,,
280,C2E003,03:01:58,Molly,Attack,19,14,,,,Scimitar
281,C2E003,03:02:04,Molly,Damage,7,,,7 to Imp 3,1.0,
282,C2E003,03:03:23,Caleb,Wisdom Save,20,15,,4 Psychic to Caleb,,Against Siphon Life
283,C2E003,03:04:02,Molly,Wisdom Save,16,11,,,,Against Toya's singing
284,C2E003,03:04:03,Fjord,Wisdom Save,14,14,,,,Against Toya's singing
285,C2E003,03:04:04,Jester,Wisdom Save,21,16,,,,Against Toya's singing
286,C2E003,03:04:05,Nott,Wisdom Save,19,19,,,,
287,C2E003,03:04:06,Beau,Wisdom Save,19,16,,,,Against Toya's singing
288,C2E003,03:04:10,Caleb,Wisdom Save,23,18,,,,Against Toya's singing
289,C2E003,03:05:03,Jester,Spell Attack,7,2,,,,Guiding Bolt
290,C2E003,03:07:09,Beau,Athletics,10,6,,,,
291,C2E003,03:08:07,Beau,Athletics,16,12,,,,
292,C2E003,03:08:58,Beau,Attack,24,18,,,,Unarmed Strike
293,C2E003,03:09:18,Beau,Damage,8,,,8 to Toya,,
294,C2E003,03:10:52,Caleb,Spell Attack,10,4,,,,Chromatic Orb with disadvantage
295,C2E003,03:10:52,Caleb,Spell Attack,Unknown,Unknown,,,,Disregarded due to disadvantage
296,C2E003,03:12:29,Nott,Attack,19,13,,,,Shortsword SA
297,C2E003,03:12:39,Nott,Damage,12,,,12 to Kylre,,
298,C2E003,03:13:57,Fjord,Attack,17,11,,,,Falcion with Wrathful Smite
299,C2E003,03:14:26,Fjord,Damage,15,,,15 (14 + 1 Psychic) to Kylre,,
300,C2E003,03:16:26,Caleb,Constitution Save,12,10,,5 Poison to Caleb,,Against Imp Sting
301,C2E003,03:17:06,Jester,Constitution Save,7,5,,6 Poison to Jester,,Against Imp Sting
302,C2E003,03:18:43,Molly,Damage,4,,,4 Psychic to Imp 1,,Vicious Mockery
303,C2E003,03:20:07,Nott,Constitution Save,10,8,,,,Against Kylre
304,C2E003,03:20:46,Nott,Attack,22,16,,,,Shortsword AoO
305,C2E003,03:20:48,Fjord,Attack,18,12,,,,Falchion AoO
306,C2E003,03:21:04,Nott,Damage,11,,,11 to Kylre,,
307,C2E003,03:21:23,Fjord,Damage,16,,,16 to Kylre,,
308,C2E003,03:24:07,Jester,Healing,9,,,,,"Cure Wounds (1st), Jester heals 9 points"
309,C2E003,03:25:43,Caleb,Death Save,Unknown,Unknown,,,,Success
310,C2E003,03:26:07,Nott,Attack,10,4,,,,Hand Crossbow
311,C2E003,03:27:10,Fjord,Spell Attack,23,17,,,,Eldritch Blast
312,C2E003,03:27:30,Fjord,Damage,14,,,14 to Kylre,1.0,HDYWTDT
313,C2E003,03:30:07,Fjord,Constitution Save,6,2,,14 Poison to Fjord,,Against Imp Sting
314,C2E003,03:31:20,Molly,Attack,10,5,,,,Scimitar
315,C2E003,03:31:20,Molly,Attack,Unknown,Unknown,,,,Scimitar
316,C2E003,03:32:32,Jester,Damage,6,,,6 to Imp 1,1.0,Word of Radiance
317,C2E003,03:34:40,Beau,Attack,10,4,,,,Rock throw with disadvantage
318,C2E003,03:34:40,Beau,Attack,14,8,,,,Disregarded due to disadvantage
319,C2E003,03:35:03,Caleb,Death Save,Unknown,Unknown,,,,Success
320,C2E003,03:35:25,Nott,Attack,Nat1,1,,,,Hand Crossbow
321,C2E003,03:35:35,Nott,Attack,Nat6,6,,,,Hand Crossbow
322,C2E003,03:36:30,Fjord,Death Save,3,3,,,,Failure
323,C2E003,03:37:41,Molly,Attack,11,6,,,,Scimitar
324,C2E003,03:37:41,Molly,Attack,Unknown,Unknown,,,,Scimitar
325,C2E003,03:39:12,Beau,Attack,Unknown,Unknown,,,,Disregarded due to advantage
326,C2E003,03:39:12,Beau,Attack,21,15,,,,Staff with advantage
327,C2E003,03:39:26,Beau,Damage,12,,,12 to Imp 2,1.0,
328,C2E003,03:39:54,Jester,Healing,5,,,,,"Cure Wounds (1st), Fjord heals 5 points, is conscious"
329,C2E003,03:40:09,Caleb,Death Save,Unknown,Unknown,,,,Failure
330,C2E003,03:40:13,Nott,Medicine,Nat20,20,,,,Caleb is conscious
331,C2E003,03:42:27,Jester,Investigation,14,13,,,,
332,C2E003,03:47:24,Nott,Sleight of Hand,26,18,,,,
333,C2E004,00:17:32,Molly,Acrobatics,9,4,,,,
334,C2E004,00:34:31,Caleb,Persuasion,6,3,,,,
335,C2E004,00:38:15,Fjord,Deception,Unknown,Unknown,,,,Disregarded due to advantage
336,C2E004,00:38:15,Fjord,Deception,20,14,,,,With advantage
337,C2E004,00:38:56,Jester,Strength,8,5,,,,
338,C2E004,00:43:00,Beau,Stealth,10,4,,,,
339,C2E004,00:43:04,Jester,Stealth,7,4,,,,
340,C2E004,00:43:08,Nott,Stealth,26,18,,,,
341,C2E004,00:44:44,Jester,Deception,Unknown,Unknown,,,,Disregarded due to disadvantage
342,C2E004,00:44:44,Jester,Deception,8,5,,,,With disadvantage
343,C2E004,00:45:35,Jester,Sleight of Hand,Nat20,20,,,,
344,C2E004,00:47:57,Nott,Deception,0,3,,,,
345,C2E004,00:48:58,Molly,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
346,C2E004,00:58:58,Molly,Stealth,13,5,,,,With advantage
347,C2E004,00:50:33,Molly,Stealth,Unknown,Unknown,,,,Disregarded due to advantage
348,C2E004,00:50:33,Molly,Stealth,22,19,,,,With advantage
349,C2E004,00:52:16,Caleb,Intimidation,9,,,,,
350,C2E004,00:56:48,Caleb,Persuasion,11,8,,,,
351,C2E004,01:01:19,Molly,Stealth,19,16,,,,
352,C2E004,01:13:09,Caleb,Persuasion,11,8,,,,
353,C2E004,01:15:29,Molly,Persuasion,12,12,,,,
354,C2E004,01:15:32,Yasha,Persuasion,11,13,,,,
355,C2E004,01:17:48,Nott,Persuasion,1,4,,,,
356,C2E004,01:28:19,Beau,Perception,10,7,,,,
357,C2E004,01:47:16,Molly,Intimidation,14,14,,,,
358,C2E004,01:47:33,Caleb,Persuasion,14,11,,,,
359,C2E004,02:21:00,Beau,Attack,12,6,,,,Unarmed Strike
360,C2E004,02:22:13,Beau,Attack,Nat20,20,Y,,,Unarmed Strike
361,C2E004,02:22:13,Beau,Attack,Nat20,20,Y,,,Unarmed Strike
362,C2E004,02:22:13,Beau,Attack,23,17,,,,Unarmed Strike
363,C2E004,02:22:51,Beau,Damage,10,,,10 to Dairon,,
364,C2E004,02:22:51,Beau,Damage,8,,,8 to Dairon,,
365,C2E004,02:23:02,Beau,Damage,5,,,5 to Dairon,,
366,C2E004,02:24:25,Beau,Constitution Save,10,7,,,,Against Extract Aspects
367,C2E004,02:25:27,Beau,Attack,9,3,,,,Unarmed Strike
368,C2E004,02:25:56,Beau,Attack,21,15,,,,Unarmed Strike
369,C2E004,02:26:22,Beau,Damage,8,,,8 to Dairon,,
370,C2E004,02:28:19,Beau,Constitution Save,12,9,,,,Against Stunning Strike
371,C2E004,02:35:42,Jester,Medicine,20,15,,,,
372,C2E004,02:38:41,Fjord,Insight,11,13,,,,
373,C2E004,02:38:41,Jester,Insight,15,12,,,,
374,C2E004,02:38:41,Molly,Insight,11,6,,,,
375,C2E004,02:38:52,Caleb,Persuasion,Nat20,20,,,,
376,C2E004,02:39:50,Jester,Dexterity,15,12,,,,
377,C2E004,02:43:19,Caleb,Persuasion,Nat20,20,,,,
378,C2E004,02:44:20,Nott,Investigation,10,5,,,,
379,C2E004,02:45:10,Nott,Sleight of Hand,24,16,,,,
380,C2E004,02:47:10,Caleb,Charisma,11,8,,,,
381,C2E004,02:49:39,Caleb,Persuasion,12,9,,,,
382,C2E004,02:55:17,Nott,Thieves' Tools,14,8,,,,
383,C2E004,03:01:15,Jester,Sleight of Hand,23,18,,,,
384,C2E004,03:14:21,Yasha,Persuasion,Unknown,Unknown,,,,Disregarded due to disadvantage
385,C2E004,03:14:21,Yasha,Persuasion,3,5,,,,With disadvantage
386,C2E004,03:15:33,Molly,Persuasion,19,19,,,,
387,C2E004,03:18:01,Beau,Insight,18,13,,,,
388,C2E004,03:21:08,Fjord,Persuasion,Unknown,Unknown,,,,Disregarded due to advantage
389,C2E004,03:21:08,Fjord,Persuasion,21,17,,,,With advantage
390,C2E004,03:37:46,Beau,Deception,19,16,,,,
391,C2E004,03:41:26,Nott,Animal Handling,Unknown,Unknown,,,,Disregarded due to advantage
